implementation,size,mean_time,std_time,min_time,max_time,n_runs
pure_python,100000,0.050569795863702895,0.009475682477512239,0.04361900012008846,0.07426683302037418,10
numpy,100000,0.0008704249979928136,0.0004406687969475339,0.0006174999289214611,0.00215999991632998,10
numba,100000,0.00045516239479184153,5.80581182557077e-05,0.0003904169425368309,0.0005816249176859856,10
multiprocessing,100000,3.6760757415089755,0.7628934622567726,2.12619970808737,4.977536916965619,10
multithreading,100000,0.002431670785881579,0.0004738202402503327,0.0016653749626129866,0.0032256669364869595,10
pure_python,500000,0.2683164458489046,0.011950833302188952,0.24814025009982288,0.28847141610458493,10
numpy,500000,0.00460655395872891,0.0002489670261032716,0.00436033308506012,0.00523137510754168,10
numba,500000,0.0023481959011405706,0.00011943489546101026,0.002223207848146558,0.0026079590898007154,10
multiprocessing,500000,4.418297845986672,0.8532156705774916,3.669504542136565,6.443443082971498,10
multithreading,500000,0.004751445772126317,0.0009384793759804645,0.003779958002269268,0.006707958877086639,10
pure_python,1000000,0.45828669986221937,0.0419719034264483,0.4318251658696681,0.553012624848634,10
numpy,1000000,0.007696666871197522,0.0002535258171025518,0.0073807500302791595,0.008203791920095682,10
numba,1000000,0.004469595942646265,0.0001343474640891726,0.004325499990954995,0.004686875035986304,10
multiprocessing,1000000,4.837848629220389,0.5689722063832191,3.7977755840402097,5.635067750001326,10
multithreading,1000000,0.007543983543291688,0.0011362674651887502,0.006284583127126098,0.009683167096227407,10
pure_python,5000000,2.204090462392196,0.08517718340260264,2.1627389159984887,2.456001500133425,10
numpy,5000000,0.03697600406594574,0.0001747532438242078,0.03663499979302287,0.03719316702336073,10
numba,5000000,0.02207875847816467,0.00010404026585983922,0.021976917050778866,0.02235183399170637,10
multiprocessing,5000000,4.345382087607868,0.3835161697579088,3.6561699169687927,5.170182958012447,10
multithreading,5000000,0.025402374844998122,0.004542260464990233,0.020054582972079515,0.036451457999646664,10
